+0.40 #HappyThanksgiving2017 https://t.co/8BaMb7PFCL
+0.40 Happy Thanksgiving from my family to yours! https://t.co/ER8RbeHbpl
+0.40 Standing with Uniontown residents fighting environmental injustice! Keep up the fight! “Injustice anywhere is a thr… https://t.co/ot1wXBwIWT
+0.40 We have less than a month until the end of ACA Open Enrollment. Affordable and reliable healthcare is a right not a… https://t.co/XlPpYwHI9s
+0.40 Speaking to a full hose during today's town hall in Marion! Excited to update everyone on what's happening in D.C. https://t.co/Zl8MTndUYg
+0.40 Special thanks to Art Evans and the great staff of Bryan Whitfield Hospital @bwwmh for hosting our town hall meetin… https://t.co/5QoXfKupjR
+0.40 Stopped by the Veteran’s mobile unit in Demopolis today providing excellent healthcare to our veterans in the rural… https://t.co/iqBF9tJCNa
+0.40 It's a great day to be in Marengo County! Town Halls are my favorite way to connect with the people I've been elect… https://t.co/CS3mV4h5RK
+0.40 Next up - Perry County Town Hall! Join me at Sowing Seeds of Hope in Marion at 1PM. https://t.co/zt2PbANlbN https://t.co/GBiaokBum0
+0.40 Big victory this week for Wilcox County! But my fight to save Alabama's rural hospitals isn't over. I'm pushing Con… https://t.co/lpWsWECKvi
+0.40 Enjoyed touring Grove Hill Memorial Hospital and learning about their challenges and successes! It’s great to see a… https://t.co/Jq2N116dKR
+0.40 Getting ready for my next Congress in Your Community Town Hall at 4pm at Grove Hill Town Hall! Come out and join!… https://t.co/By5UbpXaAr
+0.40 Excited to learn about what’s  happening @GeorgiaPacific this afternoon! This company is a major employer for my co… https://t.co/8FpRlzTeH9
+0.40 In Choctaw County today for one of four Town Halls! Nothing is more important than hearing from the people I was el… https://t.co/8TsMRmutMB
+0.40 I want to hear from you. Join me at one of my four town halls this week! https://t.co/zt2PbANlbN
+0.40 This week I'm hosting four town halls across Alabama's 7th Congressional District! The events are free and open to… https://t.co/ZJe7g7L0xB
"+0.40 Alabama deserves a United States Senator whose character integrity, and veracity are not questionable from the mome… https://t.co/mTp7yuydut"
+0.40 I believe the multiple accounts of the women who have bravely come forward over the last two weeks. Roy Moore shoul… https://t.co/XZs3v0DQMO
"+0.40 So proud of my interns in D.C. this semester! A huge thank you to Caroline, Morgan, Alliemarie, Geoff, and Matt for… https://t.co/vvK3ULfmyj"
+0.40 The #GOPTaxScam picks winners and losers. Who wins? Special interests and the wealthy. Who loses? Working and middl… https://t.co/I7aad6U3Hx
+0.40 It's time for Republican leaders to go back to the drawing board and take public input on a tax bill that puts cons… https://t.co/sB8qoyTxL8
+0.40 52% of voters disapprove of the #GOPTaxScam. Why? It hurts middle-class families in order to pay for wealthy tax cu… https://t.co/GBQ9MC7Js2
+0.40 There should be no tolerance for violence against patients in our mental health facilities. Those responsible must… https://t.co/PWjhOeK27l
+0.40 Open enrollment is happening now! Remember to #GetCovered. Visit https://t.co/zPHUmrp1wV https://t.co/RYanqTuGhe
"+0.40 A new study by @UNCF shows that HBCUs generate 134,000 jobs for local economies. Let’s make our school system… https://t.co/MhI6YO01yG"
+0.40 Speaking out with @MomsRising and women of Ways and Means against the #GOPTaxScam. This bill is a bad deal for work… https://t.co/ZDxCQqImXy
"+0.40 Today is James Rapier's 180th birthday! An Alabama-native, Rapier became one of our state's first black representat… https://t.co/Zlp4usp2Eb"
