"+0.83 From my family to yours, Happy Thanksgiving!"
"+0.83 In this season of thanksgiving, I'm grateful to have had the opportunity to visit our troops overseas.… https://t.co/HbhmPTRfpY"
"+0.83 May Officer Brian Shaw rest in peace. We continue to stand with all police officers during this difficult time, esp… https://t.co/YIRs1ClH8S"
+0.83 Rest In Peace Officier Brian Shaw. I urge anyone who has information about the suspect to please contact the author… https://t.co/htB1VOHlbw
+0.83 Happy National Adoption Day! Thank you to all those families who have given children a loving and permanent home. https://t.co/Q3eTWusvh5
+0.83 Keeping this police officer in my thoughts and prayers. https://t.co/BgsW26vJpU
"+0.83 RT @tribunedemocrat: Rothfus, Shuster support GOP tax plan https://t.co/uQDJHeCdje"
+0.83 Keeping Tom Ridge and his family in my thoughts and prayers right now.
+0.83 JUST PASSED: The Tax Cuts &amp; Jobs Act! Read my statement here: https://t.co/I2hxMp1iCV
"+0.83 Today, I will vote for a #taxreform bill to put more money back in hardworking Americans' pockets. Read my latest o… https://t.co/fbOENoXJXu"
+0.83 Always a pleasure to reconnect with my friend and retired Air Force fighter pilot Scott O'Grady. Thank you for stop… https://t.co/s2n07H1Ugq
"+0.83 The #NDAA Conference Report provides our troops the resources needed to keep our country safe, a much overdue… https://t.co/DytXF0uXdv"
"+0.83 According to the nonpartisan @taxfoundation, Pennsylvanians stand to gain more money in their pockets and greater j… https://t.co/cVAi0Mt5U5"
+0.83 RT @FinancialCmte: Happening now: the committee has started debate on 22 financial services bills. Watch the livestream  🖥 https://t.co/qN5…
"+0.83 We must ensure that every veteran receives the care they deserve. While we've made a lot of progress, there is stil… https://t.co/RjO33UY4ju"
+0.83 It was an honor to welcome home the Detachment 56th. I’m grateful to these brave soldiers for their service and wil… https://t.co/M7nZzRvuvR
+0.83 And here’s another great and detailed article from Jem Spectar and Ray Wrabley about all that Johnstown has to offe… https://t.co/K0xkp6HAr8
"+0.83 Here's a great article from community leaders in defense of Johnstown. @tribunedemocrat 
https://t.co/K8TmYSqLMS https://t.co/hPdZSDs6ON"
"+0.83 There is a lot to celebrate about Cambria and Somerset counties, and I’m proud to represent the hard working people… https://t.co/DRCfXXjmRe"
"+0.83 May God bless all those who have served our country everyday, but especially on this #VeteransDay. https://t.co/3vezmZkH8N"
