Where is Nevada's AG?????? https://t.co/I9k3RfPIK8
I condemn the FCC's decision today on net neutrality and am urging my colleagues in Congress to step up and ensure… https://t.co/6I7TR7UAjO
"My heart will never stop aching for the children, teachers, and families of #SandyHook. We must come together to pr… https://t.co/Do6wGVkEnw"
Zinke is a #MonumentalMistake. https://t.co/UUAfZi6kCW
My sincere thanks to @BillNoonaniii for his leadership of the @lvchamber and best wishes to the 2018 Board of Trust… https://t.co/FGnSlMlH1v
RT @repdinatitus: 40 moments of silence since 2012 -- including two for Las Vegas -- and zero commonsense gun bills signed into law. It’s t…
Another productive visit by the Georgian parliament &amp; @OWprogram to discuss the partnership between our governments. https://t.co/J1y0PSCZHi
40 moments of silence since 2012 -- including two for Las Vegas -- and zero commonsense gun bills signed into law.… https://t.co/A5KEfCyGZd
#TeamTitus is spreading cheer and signing holiday cards for @RedCross today on the Hill. https://t.co/nEdcK3IsR8
Sports wagering companies have paid the handle tax in good faith w/out any accountability from the IRS. This tax mu… https://t.co/epWKDRZWjN
"Wishing all those celebrating in #LasVegas, and around the world, a Happy #Hanukkah. #ChagSameach #FestivalofLights"
Zinke thinks our public lands are a public trough. He gives away our lands to corporations while cutting free-admis… https://t.co/lkCI9mniQo
Read my letter demanding that Congress protect wild horses and burros. We cannot let Republicans overturn decades o… https://t.co/MiroWCp1lY
How many more moments of silence will we have on the House floor before the GOP takes action to save lives? https://t.co/Tja9H2A621
Friday is the final day to sign up for coverage. https://t.co/hbgtueedLD
"As the GOP works to erode protections against predatory lending today, we cannot forget that the GOP's JOB CUTS AND… https://t.co/T3ouL1nQlp"
Republicans want to roll back the progress our housing market has made. Tell the GOP to vote for my provision to en… https://t.co/SA1nktYy4Y
"Celebrating completion of the 179MW(ac) Switch Station 1 and Switch Station 2 Solar Projects in Apex, Nevada. https://t.co/eXjnIbTepp"
Tell Republicans to help us prevent predatory lenders from attacking families in Las Vegas and across the country. https://t.co/lp357auVix
About to speak on floor to protect consumers from the predatory lending practices that hurt Las Vegas during the Great Recession
My colleagues and I are demanding that we not ignore all the women who have come forward to hold President Trump ac… https://t.co/NQiicyv7i9
