"+0.18 Happy, Happy Thanksgiving, District 24. I hope the day is full of family, friends and love!"
+0.18 Hoping for a Thanksgiving miracle that we will #BBOG! https://t.co/pEJtDl1HaO
"+0.18 If you are still facing loss from #HurricaneIrma, which barreled through Florida in September, and haven’t sought a… https://t.co/igRbbwxYux"
+0.18 May all of their dreams come true. #BBOG https://t.co/jq5u4X08p5
+0.18 Just Wow!!! https://t.co/Q8DRxANJVs
+0.18 RT @ACLU: The FCC is planning to introduce a total repeal of net neutrality rules this week. Here's what that would mean. #SaveNetNeutralit…
+0.18 RT @KamalaHarris: It's going to take everything we've got to save our free and open internet. Let's get to work. Make those calls to tell y…
"+0.18 RT @BBOG_Nigeria: DAY 1,318 of #ChibokGirls' abduction, 113 still in captivity.
DAY 888 under President Muhammadu Buhari's watch.... https:…"
+0.18 #SaveTPS https://t.co/ay2pAJ4e32
+0.18 RT @JoyAnnReid: And Trump knows nothing of personal sacrifice or service. Five Vietnam deferments. Dissing Gold Star families. Disrespectin…
+0.18 RT @DanRather: #Haiti is the poorest country in Western Hemisphere - devastated by disease and an earthquake that killed 230k people. Now w…
+0.18 The Trump Administration needs to give us answers NOW! #WeNeedAnswers https://t.co/b1p5FTxLfN
+0.18 RT @Amy_Siskind: This is heartbreaking. And to think Myeshia also had to deal with that racist bigot @realDonaldTrump while grieving and wo…
"+0.18 RT @MichaelSkolnik: This really feels like @realDonaldTrump is covering something up, as additional remains of Sgt. La David Johnson have b…"
+0.18 RT @hollyrpeete: This is not right. When someone gives their life for this country info should never be withheld from their loved ones. Thi…
+0.18 RT @keithboykin: This is very disturbing news about the tragedy in Niger and suggests Sgt. La David Johnson’s widow was right to question w…
+0.18 RT @CapehartJ: WHAT IN THE ENTIRE HELL HAPPENED HERE?! ---&gt; More remains of Miami Gardens’ Sgt. La David Johnson found in Niger https://t.c…
+0.18 RT @JoyAnnReid: With one notable exception ---&gt; @RepWilson https://t.co/v0UYSPFU8T
+0.18 RT @carloslcurbelo: TY @MiamiSup for gathering us this morning in support of our neighbors enrolled in the #TPS program. S. Florida is unit…
"+0.18 Boggles the mind, doesn't it? https://t.co/9yXgkfvpI2"
"+0.18 I hope you're having a wonderful day, @RepYvetteClarke! May all of your birthday wishes come true! https://t.co/qPpwqJpkvh"
+0.18 Please join me in the push to find out what happened in Niger during the ambush and #SgtLaDavidJohnson's final hour… https://t.co/iTwhDkXmU2
+0.18 ICYMI: https://t.co/wbUvGoDpvn
+0.18 ICYMI: https://t.co/lqEvrLHsLO
"+0.18 United we stand. #SaveTPS
https://t.co/HVwNoX6QBa"
+0.18 Hearing the news about additional remains found in Niger must have felt like losing #SgtLaDavidJohnson a second time! #WeNeedAnswersNow
+0.18 The U.S. government owes the family of #SgtLaDavidJohnson and the 3 other families answers about what happened in N… https://t.co/xkR6bL3EPx
"+0.18 I will continue to push and push until we learn what happened to #SgtLaDavidJohnson!
 https://t.co/0hGvbLGa6Q"
+0.18 Haitian TPS holders have been living and working in the US for an average of 13 years. @realDonaldTrump is giving t… https://t.co/Y2hNmXIC2F
"+0.18 RT @NadegeGreen: When Donald Trump said he would be Haitians' biggest champion, that was a lie says @RepWilson on Trump admin ending TPS. @…"
+0.18 @realDonaldTrump You are NOT our champion or our favorite president. #TPS https://t.co/XuyQjbQmFR
+0.18 @RepCurbelo and I will not stop until we've won the fight to #SaveTPS.
+0.18 DHSgov: I have been to Haiti and can confirm that the circumstances that led to #TPS most definitely still exist. https://t.co/3Dq1eGDYDS
+0.18 @realDonaldTrump You are NOT our champion or our favorite president. #TPS
+0.18 @realDonaldTrump you are NOT our champion or our favorite president. #TPS
+0.18 Ending TPS tears families apart. We will continue to fight to keep families whole! https://t.co/lnOpbZVsX7
+0.18 Make no mistake: the fight to #SaveTPS is not over. https://t.co/Jr8iU8VnAV
"+0.18 @DHSgov gives Haitian nationals with #TPS 18 months to prepare for their return to Haiti.
https://t.co/5pusxiKTTS"
"+0.18 You have no idea how much I am hoping that this is true:
https://t.co/gQ1xqVIh3w"
"+0.18 Happy Birthday, Mr. Vice President @JoeBiden ! https://t.co/MwHrH6xNnm"
+0.18 RT @RepSwalwell: Those turkeys better learn to speak and thank @realDonaldTrump. https://t.co/eGO7ZIZLuE
+0.18 @Lawrence @AllisonBJanney @DuleHill @marycmccormack Nice!
+0.18 RT @SenKamalaHarris: Retweet if you would *not* benefit from a private jet tax break. https://t.co/jxAWezkbq8
"+0.18 If you've not signed up for coverage, please take advantage of time off during this holiday week to #GetCovered! https://t.co/OphMV6ERFF"
