"+0.68 From my family to yours, have a safe and happy Thanksgiving! https://t.co/ZDhXAKncQH"
"+0.68 On this day in 1995, the Irvine Spectrum opened! https://t.co/kup1HX4cth"
+0.68 I enjoyed touring and volunteering at @FamiliesForward in Irvine yesterday afternoon. Thank you for all the wonderf… https://t.co/gehnVgUEwX
"+0.68 Today, I had the opportunity to deliver Meals on Wheels to residents of Laguna Woods with the nonprofit @MyAgeWell,… https://t.co/v59a7qCYyZ"
+0.68 I had a great time speaking with @UCILaw students today.  Many thanks to Senators Joe Dunn and Dick Ackerman for in… https://t.co/Y0zmpmRjhC
+0.68 A great event for those looking for somewhere special to spend Thanksgiving. Kudos to Operation Warm Wishes for ano… https://t.co/jZNZcGUja5
"+0.68 RT @HouseGOP: Did you see this → The Tax Cuts &amp; Jobs Act passed the House this week! This bill:
✔ Lowers tax rates
✔ Increases the standard…"
"+0.68 North Korea’s human rights abuses &amp; rapid weapons development pose a serious threat to the US, particularly the Wes… https://t.co/K8Ld9DKFAu"
"+0.68 Help us honor our local heroes by sending in your story of service, or that of a loved one! #OC is home to some of… https://t.co/qs4vjh9bhh"
"+0.68 RT @SpeakerRyan: FACT → For current mortgage borrowers, absolutely nothing is changing with your mortgage-interest deduction. https://t.co/…"
+0.68 RT @GOP: Once upon a time Democrats supported key parts of the Republican tax plan… https://t.co/aOofkqqjm7
+0.68 RT @KenCalvert: More Pinocchios from the Washington Post for Senate Democrats for falsely claiming that the GOP tax reform bill is ‘kicking…
"+0.68 Today, I voted in favor of the Tax Cuts and Jobs Act to ensure that we continue to move toward fundamental tax refo… https://t.co/xgutRL2dIJ"
+0.68 The current tax reform bill will create prosperity and allow middle income Americans to keep more of their hard-ear… https://t.co/zfFMsSmcEt
"+0.68 RT @SpeakerRyan: Democrats are doing all they can to try to derail tax cuts for middle-income families, but this is a promise we made to th…"
"+0.68 Today, I introduced bipartisan legislation that will provide financial relief for Californians impacted by the rece… https://t.co/a5FZV0OBhx"
"+0.68 America faces a growing number of national security threats. Today, the House reaffirmed its commitment to the secu… https://t.co/tuwTsjHKmi"
"+0.68 RT @GOPLeader: THIS → ""Most California voters already want to overturn gas tax increase, poll finds"" https://t.co/9Ou5ovqicI https://t.co/6…"
"+0.68 Great to meet with @CalChiefs President Ed Medrano, and Vice Presidents David Swing and Ron Lawrence, to discuss th… https://t.co/mH3qI7Wg74"
+0.68 ICYMI: My op-ed from Friday's @ocregister about our community's commitment to our Nation's heroes. https://t.co/avpgcipf0K
"+0.68 I enjoyed speaking at the @MissionViejoCA State of the City last night and paying tribute to our veterans, includin… https://t.co/QFBRuV1zcn"
"+0.68 I was privileged to attend this morning's Veterans Day Ceremony hosted by the @City_of_Irvine. Thank you, Major Jon… https://t.co/vEkppqWvqD"
"+0.68 This afternoon, I had the pleasure of joining the @CityOfOrangeCA as they honored our veterans. Thank you for a bea… https://t.co/u82LFrjqoo"
+0.68 Help us honor the veteran heroes in #CA45 by submitting their stories so we can share them with our grateful commun… https://t.co/VcvsHIYU5P
"+0.68 This Veterans Day, please spare a thought, a prayer, and a thank you for the brave men and women who have served in… https://t.co/2PYcrTEok7"
+0.68 Humbling to celebrate the life of Staff Sgt. Matthew Thompson at the renaming of the Veterans Resource Center in hi… https://t.co/qttxD7xiBv
+0.68 #OC is home to some of the most brave men and women to ever serve our country.  The newly-approved veterans cemeter… https://t.co/6W9hq975cI
"+0.68 Happy 242nd birthday to the @USMC, and a big thank you to my favorite Marine, my dad! #SemperFi https://t.co/sFao0Li3qh"
+0.68 Orange County is home to some of the bravest men and women to ever wear our country's uniform. This Veterans Day we… https://t.co/8nMWkJ1uPc
"+0.68 RT @NatResources: To honor #VeteransDay the @NatlParkService &amp; @Interior will offer free admission to our National Parks, many of which pre…"
"+0.68 Thank you @IvankaTrump, for your hospitality last night.  It was great to chat with you about how we can work toget… https://t.co/ytnF6ncowq"
"+0.68 Congressional employees, and all employees, deserve a workplace that is free of sexual harassment. I'm proud to cos… https://t.co/BMDPic78mj"
+0.68 Proud to begin Veterans Day week by supporting a number of bills that will offer support &amp; improve care for our Nat… https://t.co/EmMVk3pE74
"+0.68 RT @SpeakerRyan: In the House, we've passed almost 400 bills in the first 10 months of the Trump admin. That's more than under Clinton, Bus…"
+0.68 Honored to join today’s convo on challenges that face our Nation’s women veterans &amp; how we can best serve these her… https://t.co/PTaqfA2lYX
+0.68 I had a great time Skyping w/ 5th graders at @BathgateBlazers in Mission Viejo today! Thanks for so many great ques… https://t.co/Lw1nUyu0E8
"+0.68 Praying for the victims of the shooting in Sutherland Springs,Texas. Many thanks to the first responders for their quick action."
+0.68 Choosing btwn your personal &amp; professional life is tough. We need a balance. #WorkflexBill offers a solution. More: https://t.co/yuHeKH99Hu
+0.68 RT @SpeakerRyan: Tax Cuts &amp; Jobs Act will create nearly 1 million new jobs. See how many jobs #TaxRefom will create in your state→ https://…
+0.68 #TaxReform will put the government back on the side of #smallbiz &amp; job creators in #OC. Text TAX REFORM to 50589 to… https://t.co/xpIJfUIiN9
+0.68 I joined @kingsthings last night to discuss why the United States is in need of #taxreform! Watch the interview: https://t.co/pZcWfTGpnc
